f;i;t;demand
6;317;0;1
19;104;0;1
25;106;0;2
59;183;0;1
77;248;0;1
79;252;0;1
81;413;0;1
88;403;0;1
2;143;1;1
6;317;1;1
7;109;1;1
16;113;1;1
79;252;1;2
94;32;1;1
117;219;1;1
4;143;2;1
5;131;2;1
6;317;2;1
7;109;2;1
24;87;2;1
25;106;2;1
78;278;2;1
79;252;2;1
83;407;2;1
2;143;3;1
3;134;3;1
4;143;3;2
5;131;3;2
6;317;3;1
7;109;3;1
10;123;3;1
60;203;3;1
78;278;3;3
113;211;3;1
4;143;4;1
6;317;4;1
11;132;4;1
25;106;4;1
40;331;4;1
45;224;4;1
61;180;4;1
78;278;4;1
115;225;4;1
2;143;5;6
3;134;5;9
4;143;5;9
5;131;5;8
6;317;5;4
7;109;5;9
9;133;5;2
10;123;5;2
11;132;5;2
12;122;5;1
16;113;5;1
18;115;5;1
24;87;5;1
25;106;5;7
30;247;5;1
40;331;5;1
42;342;5;1
45;224;5;2
46;327;5;1
47;87;5;1
56;119;5;1
59;183;5;1
61;180;5;1
67;248;5;1
68;246;5;1
69;263;5;1
78;278;5;5
79;252;5;7
88;403;5;1
89;276;5;2
91;388;5;1
92;386;5;3
98;1;5;1
113;211;5;1
115;225;5;1
116;206;5;1
119;432;5;3
123;431;5;1
2;143;6;6
3;134;6;7
4;143;6;6
5;131;6;4
6;317;6;6
7;109;6;6
10;123;6;3
11;132;6;2
16;113;6;1
17;105;6;1
19;104;6;1
24;87;6;1
25;106;6;4
33;354;6;1
35;142;6;1
37;132;6;1
38;327;6;2
41;338;6;1
44;282;6;1
46;327;6;1
52;83;6;1
59;183;6;1
60;203;6;1
61;180;6;1
65;236;6;1
76;248;6;2
78;278;6;9
79;252;6;9
87;399;6;2
88;403;6;1
90;376;6;1
91;388;6;1
95;14;6;1
101;20;6;1
111;67;6;2
115;225;6;1
117;219;6;1
119;432;6;1
120;433;6;1
124;431;6;1
125;431;6;1
1;113;7;1
2;143;7;7
3;134;7;4
4;143;7;5
5;131;7;4
6;317;7;12
7;109;7;4
10;123;7;1
11;132;7;1
12;122;7;1
14;110;7;1
16;113;7;1
18;115;7;1
20;112;7;1
24;87;7;1
25;106;7;3
26;247;7;1
27;94;7;1
29;315;7;1
37;132;7;2
39;332;7;1
44;282;7;2
46;327;7;1
49;116;7;1
52;83;7;1
54;329;7;1
57;186;7;1
59;183;7;3
65;236;7;1
68;246;7;1
69;263;7;1
76;248;7;2
77;248;7;1
78;278;7;9
79;252;7;8
86;272;7;1
87;399;7;1
91;388;7;1
92;386;7;2
111;67;7;1
116;206;7;2
119;432;7;1
1;113;8;1
2;143;8;11
3;134;8;11
4;143;8;19
5;131;8;17
6;317;8;12
7;109;8;14
8;138;8;1
9;133;8;1
11;132;8;2
12;122;8;1
16;113;8;1
17;105;8;1
18;115;8;2
21;111;8;1
22;98;8;2
24;87;8;4
25;106;8;12
28;263;8;1
29;315;8;1
31;29;8;1
32;132;8;1
37;132;8;2
41;338;8;1
48;119;8;1
51;355;8;2
55;329;8;1
57;186;8;1
59;183;8;2
60;203;8;1
62;190;8;1
65;236;8;1
66;236;8;1
69;263;8;1
70;248;8;1
76;248;8;1
78;278;8;14
79;252;8;18
81;413;8;2
85;419;8;1
87;399;8;4
91;388;8;2
92;386;8;2
93;18;8;1
94;32;8;1
95;14;8;1
97;10;8;1
98;1;8;1
102;8;8;1
104;158;8;2
106;44;8;1
108;76;8;1
115;225;8;4
116;206;8;2
117;219;8;2
119;432;8;2
120;433;8;4
124;431;8;1
1;113;9;1
2;143;9;10
3;134;9;13
4;143;9;14
5;131;9;14
6;317;9;19
7;109;9;16
8;138;9;1
10;123;9;1
11;132;9;3
12;122;9;3
14;110;9;1
15;110;9;1
21;111;9;1
24;87;9;1
25;106;9;14
28;263;9;1
30;247;9;1
31;29;9;1
36;344;9;1
37;132;9;2
38;327;9;1
42;342;9;1
44;282;9;2
45;224;9;2
46;327;9;3
52;83;9;1
54;329;9;2
55;329;9;1
58;196;9;1
59;183;9;1
60;203;9;3
61;180;9;1
62;190;9;1
69;263;9;1
70;248;9;1
75;261;9;1
77;248;9;1
78;278;9;13
79;252;9;13
83;407;9;1
84;424;9;2
85;419;9;2
87;399;9;3
88;403;9;3
89;276;9;3
91;388;9;2
92;386;9;4
93;18;9;1
96;28;9;1
97;10;9;1
98;1;9;1
99;13;9;2
103;39;9;2
111;67;9;3
113;211;9;1
115;225;9;1
116;206;9;1
117;219;9;1
120;433;9;2
121;431;9;1
125;431;9;1
2;143;10;12
3;134;10;19
4;143;10;14
5;131;10;19
6;317;10;14
7;109;10;14
10;123;10;2
11;132;10;2
13;91;10;1
14;110;10;1
15;110;10;3
16;113;10;1
18;115;10;2
20;112;10;2
21;111;10;1
22;98;10;1
24;87;10;1
25;106;10;10
26;247;10;2
29;315;10;1
34;143;10;1
36;344;10;2
37;132;10;2
40;331;10;1
42;342;10;1
44;282;10;1
45;224;10;1
46;327;10;2
47;87;10;2
50;334;10;1
52;83;10;1
56;119;10;1
57;186;10;1
58;196;10;1
61;180;10;3
73;274;10;1
76;248;10;2
78;278;10;22
79;252;10;24
83;407;10;1
84;424;10;1
85;419;10;1
86;272;10;1
87;399;10;2
88;403;10;1
89;276;10;2
90;376;10;1
91;388;10;1
92;386;10;3
95;14;10;1
98;1;10;1
99;13;10;1
100;4;10;1
102;8;10;2
105;159;10;1
107;145;10;1
109;70;10;1
110;69;10;1
111;67;10;1
112;56;10;2
113;211;10;1
115;225;10;1
116;206;10;3
117;219;10;6
118;432;10;1
119;432;10;1
120;433;10;1
2;143;11;16
3;134;11;17
4;143;11;11
5;131;11;18
6;317;11;12
7;109;11;11
9;133;11;5
10;123;11;4
11;132;11;2
12;122;11;1
13;91;11;1
16;113;11;1
19;104;11;1
22;98;11;1
24;87;11;2
25;106;11;18
29;315;11;1
30;247;11;1
31;29;11;1
35;142;11;1
37;132;11;3
39;332;11;2
40;331;11;3
43;365;11;2
44;282;11;4
45;224;11;2
46;327;11;5
47;87;11;1
48;119;11;1
55;329;11;1
57;186;11;1
59;183;11;6
60;203;11;3
61;180;11;3
63;299;11;1
64;173;11;1
66;236;11;1
68;246;11;1
70;248;11;1
71;253;11;1
72;249;11;2
74;268;11;1
75;261;11;2
76;248;11;1
77;248;11;1
78;278;11;16
79;252;11;6
86;272;11;1
89;276;11;4
92;386;11;1
95;14;11;2
96;28;11;1
101;20;11;1
109;70;11;2
110;69;11;1
111;67;11;1
112;56;11;2
113;211;11;1
115;225;11;1
117;219;11;2
119;432;11;2
120;433;11;1
125;431;11;1
2;143;12;21
3;134;12;14
4;143;12;11
5;131;12;9
6;317;12;19
7;109;12;24
10;123;12;1
11;132;12;3
12;122;12;2
17;105;12;1
20;112;12;1
23;94;12;2
24;87;12;2
25;106;12;17
29;315;12;1
32;132;12;1
33;354;12;3
35;142;12;1
36;344;12;1
39;332;12;1
40;331;12;2
41;338;12;1
42;342;12;2
44;282;12;1
45;224;12;3
46;327;12;5
48;119;12;1
50;334;12;1
56;119;12;1
57;186;12;1
