i;j;t;demand
1;4;43;1
1;8;67;1
1;10;140;1
1;13;11;1
1;76;129;1
1;87;76;1
1;88;61;1
1;103;12;1
1;108;114;1
1;121;89;1
1;123;113;1
1;126;138;1
1;130;117;1
1;131;0;1
1;143;45;1
1;148;92;1
1;153;17;1
1;154;136;1
1;156;91;1
1;158;140;1
1;177;145;1
1;181;24;1
1;234;33;1
1;259;100;1
1;324;140;1
1;327;110;1
1;332;88;1
1;378;116;1
1;414;66;1
2;4;144;1
2;10;19;1
2;24;55;1
2;129;117;1
2;136;105;1
2;204;77;1
2;242;57;1
2;247;46;1
2;265;101;1
2;315;110;1
2;319;48;1
2;320;113;1
2;322;163;1
2;324;113;1
2;347;80;1
2;353;42;1
2;395;115;1
2;409;70;1
2;421;133;1
3;6;19;1
3;13;40;1
3;17;107;1
3;17;118;1
3;33;71;1
3;42;114;1
3;47;130;1
3;67;66;1
3;82;67;1
3;91;161;1
3;108;84;1
3;112;118;1
3;122;158;1
3;123;20;1
3;132;86;1
3;151;7;1
3;209;118;1
3;244;143;1
3;277;156;1
3;302;71;1
3;344;141;1
3;350;132;1
3;352;67;1
3;356;118;1
3;357;161;1
3;376;140;1
3;390;80;1
3;395;36;1
3;412;106;1
3;431;56;1
4;3;33;1
4;5;141;1
4;21;111;1
4;28;22;1
4;42;120;1
4;45;111;1
4;52;142;1
4;60;161;1
4;71;19;1
4;80;111;1
4;82;94;1
4;97;153;1
4;102;55;1
4;111;115;1
4;127;26;1
4;135;127;1
4;159;91;1
4;182;120;1
4;191;81;1
4;226;0;1
4;265;0;1
4;272;18;1
4;277;122;1
4;282;44;1
4;305;163;1
4;320;67;1
4;384;92;1
4;405;62;1
5;2;90;1
5;3;127;1
5;17;123;1
5;25;138;1
5;39;142;1
5;40;133;1
5;41;19;1
5;65;161;1
5;75;108;1
5;88;139;1
5;93;1;1
5;116;88;1
5;124;56;1
5;131;13;1
5;131;167;1
5;145;96;1
5;153;155;1
5;155;45;1
5;171;65;1
5;202;123;1
5;303;90;1
5;308;157;1
5;309;117;1
5;317;103;1
5;321;18;1
5;321;116;1
5;322;137;1
5;324;139;1
5;340;64;1
5;345;85;1
5;348;130;1
5;351;115;1
5;373;68;1
5;378;105;1
5;398;113;1
5;431;81;1
5;431;82;1
6;5;45;1
6;15;14;1
6;26;115;1
6;55;113;1
6;61;100;1
6;91;77;1
6;97;60;1
6;101;27;1
6;108;138;1
6;111;56;1
6;130;83;1
6;137;93;1
6;161;112;1
6;174;6;1
6;179;49;1
6;179;157;1
6;204;43;1
6;204;110;1
6;261;10;1
6;310;87;1
6;311;19;1
6;324;11;1
6;374;60;1
6;403;59;1
6;414;89;1
6;431;88;1
7;34;114;1
7;50;114;1
7;52;117;1
7;70;157;1
7;87;42;1
7;89;139;1
7;92;16;1
7;96;156;1
7;113;138;1
7;136;132;1
7;156;57;1
7;159;166;1
7;199;160;1
7;212;115;1
7;265;127;1
7;270;64;1
7;310;12;1
7;322;56;1
7;337;158;1
7;353;42;1
7;364;136;1
7;375;130;1
7;377;140;1
7;386;116;1
7;390;56;1
8;1;141;1
8;8;4;1
8;30;159;1
8;52;120;1
8;54;158;1
8;57;132;1
8;65;35;1
8;65;92;1
8;68;94;1
8;86;165;1
8;102;156;1
8;109;71;1
8;111;79;1
8;115;132;1
8;134;59;1
8;142;101;1
8;147;0;1
8;153;46;1
8;157;100;1
8;169;107;1
8;173;89;1
8;244;47;1
8;246;18;1
8;320;9;1
8;346;85;1
8;353;116;1
8;378;19;1
8;382;43;1
8;408;141;1
9;11;80;1
9;15;8;1
9;32;63;1
9;68;59;1
9;72;122;1
9;83;113;1
9;86;105;1
9;86;118;1
9;95;73;1
9;99;42;1
9;113;67;1
9;115;57;1
9;123;87;1
9;141;163;1
9;146;146;1
9;148;144;1
9;178;137;1
9;204;112;1
9;257;122;1
9;297;161;1
9;316;133;1
9;317;35;1
9;318;158;1
9;332;115;1
9;343;133;1
9;354;15;1
9;426;162;1
9;431;80;1
10;4;67;1
10;10;131;1
10;29;38;1
10;33;10;1
10;38;141;1
10;39;16;1
10;66;64;1
10;92;83;1
10;96;13;1
10;100;20;1
10;101;66;1
10;110;23;1
10;112;69;1
10;114;134;1
10;118;91;1
10;122;142;1
10;123;143;1
10;126;128;1
10;134;69;1
10;134;113;1
10;148;133;1
10;153;112;1
10;155;64;1
10;177;119;1
10;192;144;1
10;195;92;1
10;219;119;1
10;245;69;1
10;263;58;1
10;264;147;1
10;303;61;1
10;306;92;1
10;324;116;1
10;334;0;1
10;338;95;1
10;347;56;1
10;350;105;1
10;351;62;1
10;393;67;1
10;394;162;1
10;411;92;1
10;431;157;1
10;431;162;1
11;3;112;1
11;47;135;1
11;53;7;1
11;54;161;1
11;89;134;1
11;121;114;1
11;151;144;1
11;316;13;1
11;327;38;1
11;346;8;1
11;378;105;1
12;10;101;1
12;16;62;1
12;45;18;1
12;46;16;1
12;62;133;1
12;67;133;1
12;68;67;1
12;80;132;1
12;86;22;1
12;86;106;1
12;87;132;1
12;124;18;1
